Class,Label,Latitude,Longitude,B02,B03,B04,B08,NDVI,EVI,SAVI,NDWI
Urban Areas,1,4951185.0,697625.0,450,612,395,1346,-0.21549155908639522,-0.7828282828282829,-0.3230769230769231,-0.3748723186925434
Forests and semi-natural areas,3,4951185.0,697635.0,517,612,479,1346,-0.12190650779101742,-1.2112932604735884,-0.18277599633531838,-0.3748723186925434
Forests and semi-natural areas,3,4951185.0,697645.0,527,889,506,2228,-0.2745519713261649,-0.5070161503839026,-0.4116804012898603,-0.42957972409367984
Agricultural Areas,2,4951175.0,697335.0,351,942,453,3359,-0.35053763440860214,-0.3519504822225421,-0.525618058043712,-0.561962334340851
Agricultural Areas,2,4951175.0,697345.0,356,864,475,2823,-0.2905153099327857,-0.32525083612040134,-0.43561030235162373,-0.531326281529699
Agricultural Areas,2,4951175.0,697355.0,472,864,540,2823,-0.23076923076923078,-0.3707093821510298,-0.3460306158775365,-0.531326281529699
Agricultural Areas,2,4951175.0,697365.0,395,939,449,2574,-0.3530259365994236,-0.3924395322761493,-0.5293482175009002,-0.4654141759180188
Agricultural Areas,2,4951175.0,697375.0,445,939,544,2574,-0.2663519892110587,-0.34752771423543904,-0.3993933265925177,-0.4654141759180188
Agricultural Areas,2,4951175.0,697385.0,387,843,539,2504,-0.2199710564399421,-0.2819514004822853,-0.3298372513562387,-0.4962653122198984
Agricultural Areas,2,4951175.0,697395.0,372,843,407,2504,-0.3488,-0.40732436472346784,-0.5229908036785286,-0.4962653122198984
Agricultural Areas,2,4951175.0,697405.0,376,882,383,1161,-0.39446640316205533,-0.4367997198879552,-0.5914658237850652,-0.13656387665198239
Urban Areas,1,4951175.0,697415.0,679,882,679,1161,-0.13004484304932734,-0.5770324047754406,-0.19500480307396734,-0.13656387665198239
Urban Areas,1,4951175.0,697425.0,620,1002,718,3151,-0.16511627906976745,-0.34118212397885633,-0.24760244115082825,-0.5174572598121839
Agricultural Areas,2,4951175.0,697435.0,408,1002,511,3151,-0.3245208195637806,-0.3543591224018476,-0.48662041625371655,-0.5174572598121839
Agricultural Areas,2,4951175.0,697445.0,442,1037,582,3294,-0.2810376775787523,-0.32593123209169056,-0.4214263661623958,-0.5211267605633803
Agricultural Areas,2,4951175.0,697455.0,528,1037,610,3294,-0.25925925925925924,-0.37156282631395754,-0.3887708649468892,-0.5211267605633803
Agricultural Areas,2,4951175.0,697465.0,606,1037,634,2994,-0.24117295032914424,-0.4357698961937716,-0.3616512114866886,-0.4854874720912925
Forests and semi-natural areas,3,4951175.0,697475.0,605,1037,624,2994,-0.24864539434075858,-0.44706646460272786,-0.37285585314474873,-0.4854874720912925
Forests and semi-natural areas,3,4951175.0,697485.0,628,1056,627,3125,-0.2549019607843137,-0.4758207630878438,-0.38223938223938225,-0.49485768954795506
Forests and semi-natural areas,3,4951175.0,697495.0,602,1056,604,3125,-0.27228915662650605,-0.46578730420445175,-0.4083107497741644,-0.49485768954795506
Forests and semi-natural areas,3,4951175.0,697505.0,625,983,573,2435,-0.2634961439588689,-0.5743905855982068,-0.39511725024092514,-0.42480983031012287
Forests and semi-natural areas,3,4951175.0,697515.0,622,983,572,2435,-0.2643086816720257,-0.5689368770764119,-0.39633558341369335,-0.42480983031012287
Forests and semi-natural areas,3,4951175.0,697525.0,584,924,536,2145,-0.26575342465753427,-0.5702527924750147,-0.3984936665525505,-0.3978494623655914
Forests and semi-natural areas,3,4951175.0,697535.0,496,924,464,2145,-0.3314121037463977,-0.5024027959807776,-0.49693914296002883,-0.3978494623655914
Forests and semi-natural areas,3,4951175.0,697545.0,456,782,441,2017,-0.2788225674570728,-0.4973745624270712,-0.4180629342051492,-0.44122901036084317
Forests and semi-natural areas,3,4951175.0,697555.0,448,782,466,2017,-0.2532051282051282,-0.43913285158421345,-0.37965558670404487,-0.44122901036084317
Forests and semi-natural areas,3,4951175.0,697565.0,342,543,331,1423,-0.2425629290617849,-0.5170731707317073,-0.36363636363636365,-0.4476093591047813
Forests and semi-natural areas,3,4951175.0,697575.0,282,543,276,1423,-0.326007326007326,-0.47007042253521125,-0.48871262965222695,-0.4476093591047813
Forests and semi-natural areas,3,4951175.0,697585.0,284,503,285,1130,-0.2766497461928934,-0.46422487223168657,-0.41471147748890297,-0.38395590936925905
Forests and semi-natural areas,3,4951175.0,697595.0,316,503,271,1130,-0.2997416020671835,-0.6304347826086957,-0.44932214331826986,-0.38395590936925905
Forests and semi-natural areas,3,4951175.0,697605.0,284,575,244,1272,-0.40415140415140416,-0.5287539936102237,-0.6058572300183038,-0.37736870600974554
Forests and semi-natural areas,3,4951175.0,697615.0,403,575,343,1272,-0.25272331154684097,-0.7517822423849644,-0.3788786064235166,-0.37736870600974554
Forests and semi-natural areas,3,4951175.0,697625.0,473,743,447,1733,-0.24873949579831933,-0.5447184394552815,-0.372952540949181,-0.3998384491114701
Forests and semi-natural areas,3,4951175.0,697635.0,530,743,530,1733,-0.16732128829536527,-0.5251479289940828,-0.2508833922261484,-0.3998384491114701
Forests and semi-natural areas,3,4951175.0,697645.0,526,937,530,2295,-0.2774369461486026,-0.46082427536231885,-0.4160136286201022,-0.42017326732673266
Agricultural Areas,2,4951165.0,697335.0,686,942,719,3359,-0.13425647200481639,-0.454360228198859,-0.2013241047246464,-0.561962334340851
Agricultural Areas,2,4951165.0,697345.0,461,864,613,2823,-0.16993906567366282,-0.2681051057466353,-0.2548223350253807,-0.531326281529699
